abandonment	abandon|||verb|||—abandonment
acidity	acid|||adjective|||—acidity
acoustically	acoustic|||adjective|||—acoustically
acquiescence	acquiescent|||adjective|||—acquiescence
acquisitiveness	acquisitive|||adjective|||—acquisitiveness
acrimoniously	acrimonious|||adjective|||—acrimoniously,—acrimoniousness
acrimoniousness	acrimonious|||adjective|||—acrimoniously,—acrimoniousness
acrobatically	acrobatic|||adjective|||—acrobatically
activation	activate|||verb|||—activation
actualization	actualize|||verb|||—actualization
actuarial	actuary|||noun|||—actuarial
acupuncturist	acupuncture|||noun|||—acupuncturist
acuteness	acute|||adjective|||—acuteness
adamantly	adamant|||adjective|||—adamantly
adaptability	adaptable|||adjective|||—adaptability
adapted	adapt|||verb|||—adapted
adeptly	adept|||adjective|||—adept,—adeptly
adequacy	adequate|||adjective|||—adequacy
adjectival	adjective|||noun|||—adjectival
adjoining	adjoin|||verb|||—adjoining
adjournment	adjourn|||verb|||—adjournment
adjudication	adjudicate|||verb|||—adjudicator,—adjudication
adjudicator	adjudicate|||verb|||—adjudicator,—adjudication
administratively	administrative|||adjective|||—administratively
admirably	admirable|||adjective|||—admirably
admiringly	admiring|||adjective|||—admiringly
admissibility	admissible|||adjective|||—admissibility
admonishment	admonish|||verb|||—admonishment
admonitory	admonition|||noun|||—admonitory
adoptee	adopt|||verb|||—adopter,—adoptee
adopter	adopt|||verb|||—adopter,—adoptee
adoringly	adoring|||adjective|||—adoringly
adroitly	adroit|||adjective|||—adroitly,—adroitness
adroitness	adroit|||adjective|||—adroitly,—adroitness
adulatory	adulation|||noun|||—adulatory
adulteration	adulterate|||verb|||—adulteration
adulterous	adultery|||noun|||—adulterous
advantageously	advantageous|||adjective|||—advantageously
adventitiously	adventitious|||adjective|||—adventitiously
advergame	advergaming|||noun|||—advergame
adversely	adverse|||adjective|||—adversely
advice columnist	advice column|||noun|||—advice columnist
advisability	advisable|||adjective|||—advisability
aerodynamically	aerodynamic|||adjective|||—aerodynamically
aeronautical	aeronautics|||noun|||—aeronautical
aesthetically	aesthetic|||adjective|||—aesthetically
affability	affable|||adjective|||—affably,—affability
affably	affable|||adjective|||—affably,—affability
affectionately	affectionate|||adjective|||—affectionately
affirmation	affirm|||verb|||—affirmation
affirmatively	affirmative|||adjective|||—affirmatively
affluence	affluent|||adjective|||—affluence
agelessness	ageless|||adjective|||—agelessness
aggravating	aggravate|||verb|||—aggravating,—aggravatingly,—aggravation
aggravatingly	aggravate|||verb|||—aggravating,—aggravatingly,—aggravation
aggravation	aggravate|||verb|||—aggravating,—aggravatingly,—aggravation
aggregation	aggregate|||verb|||—aggregation
aggressively	aggressive|||adjective|||—aggressively,—aggressiveness
aggressiveness	aggressive|||adjective|||—aggressively,—aggressiveness
agility	agile|||adjective|||—agility
agnosticism	agnostic|||noun|||—agnostic,—agnosticism
agonizing	agonize|||verb|||—agonizing@@@agonizing|||adjective|||—agonizingly
agonizingly	agonizing|||adjective|||—agonizingly
agreeably	agreeable|||adjective|||—agreeably
agricultural	agriculture|||noun|||—agricultural,—agriculturalist
agriculturalist	agriculture|||noun|||—agricultural,—agriculturalist
agronomist	agronomy|||noun|||—agronomist
aimlessly	aimless|||adjective|||—aimlessly,—aimlessness
aimlessness	aimless|||adjective|||—aimlessly,—aimlessness
air-conditioned	air conditioning|||noun|||—air-conditioned
air-kiss	air kiss|||noun|||—air-kiss
airsickness	airsick|||adjective|||—airsickness
airworthiness	airworthy|||adjective|||—airworthiness
alarmingly	alarming|||adjective|||—alarmingly
Alaskan	Alaska|||noun|||—Alaskan
alchemist	alchemy|||noun|||—alchemist
alertness	alert|||adjective|||—alertness
algebraic	algebra|||noun|||—algebraic,—algebraically
algebraically	algebra|||noun|||—algebraic,—algebraically
Algerian	Algeria|||noun|||—Algerian
alienated	alienate|||verb|||—alienated
allegorical	allegory|||noun|||—allegorical,—allegorically
allegorically	allegory|||noun|||—allegorical,—allegorically
alleviation	alleviate|||verb|||—alleviation
allotted	allot|||verb|||—allotted
all out	all-out|||adjective|||—all out
allurement	allure|||noun|||—allure,—alluring,—allurement
alluring	allure|||noun|||—allure,—alluring,—allurement
allusive	allusion|||noun|||—allusive
aloofness	aloof|||adjective|||—aloofness
alphabetically	alphabetical|||adjective|||—alphabetically
alternation	alternate|||verb|||—alternation
altruist	altruism|||noun|||—altruist
altruistically	altruistic|||adjective|||—altruistically
amalgamation	amalgamate|||verb|||—amalgamation
amateurishly	amateurish|||adjective|||—amateurishly,—amateurishness
amateurishness	amateurish|||adjective|||—amateurishly,—amateurishness
amateurism	amateur|||noun|||—amateurism
amazingly	amazing|||adjective|||—amazingly
Amazonian	Amazon|||noun|||—Amazonian
ambassadorial	ambassador|||noun|||—ambassadorial
ambiguously	ambiguous|||adjective|||—ambiguously
ambitiously	ambitious|||adjective|||—ambitiously,—ambitiousness
ambitiousness	ambitious|||adjective|||—ambitiously,—ambitiousness
ambivalence	ambivalent|||adjective|||—ambivalence,—ambivalently
ambivalently	ambivalent|||adjective|||—ambivalence,—ambivalently
amelioration	ameliorate|||verb|||—amelioration
amended	amend|||verb|||—amended
Americanization	Americanize|||verb|||—Americanization
amiability	amiable|||adjective|||—amiably,—amiability
amiably	amiable|||adjective|||—amiably,—amiability
amicably	amicable|||adjective|||—amicably
amnesiac	amnesia|||noun|||—amnesiac
amoebic	amoeba|||noun|||—amoebic
amorality	amoral|||adjective|||—amorality
amorously	amorous|||adjective|||—amorously
amortization	amortize|||verb|||—amortization
amplification	amplify|||verb|||—amplification
amply	ample|||adjective|||—amply
amputation	amputate|||verb|||—amputation
amusingly	amusing|||adjective|||—amusingly
anachronistic	anachronism|||noun|||—anachronistic
analytically	analytical|||adjective|||—analytically
anarchistic	anarchist|||noun|||—anarchistic
Anatolian	Anatolia|||adjective|||—Anatolian
anatomically	anatomical|||adjective|||—anatomically
ancestral	ancestor|||noun|||—ancestral
Andorran	Andorra|||noun|||—Andorran
andropausal	andropause|||noun|||—andropausal
angelically	angelic|||adjective|||—angelically
Anglicanism	Anglican|||noun|||—Anglican,—Anglicanism
Anglo-Catholicism	Anglo-Catholic|||noun|||—Anglo-Catholic,—ˌAnglo-Caˈtholicism
anglophobia	anglophobe|||noun|||—anglophobia
Angolan	Angola|||noun|||—Angolan
angrily	angry|||adjective|||—angrily
anguished	anguish|||noun|||—anguished
animatedly	animated|||adjective|||—animatedly
animatronic	animatronics|||noun|||—animatronic
annexation	annex|||verb|||—annexation
annihilation	annihilate|||verb|||—annihilation
annotation	annotate|||verb|||—annotation
annoyingly	annoying|||adjective|||—annoyingly
annulment	annul|||verb|||—annulment
anointment	anoint|||verb|||—anointment
anomalously	anomalous|||adjective|||—anomalously
anonymously	anonymous|||adjective|||—anonymously
antagonistically	antagonistic|||adjective|||—antagonistically
anthologist	anthology|||noun|||—anthologist
anthropological	anthropology|||noun|||—anthropologist,—anthropological
anthropologist	anthropology|||noun|||—anthropologist,—anthropological
anthropomorphic	anthropomorphism|||noun|||—anthropomorphic
anticipatory	anticipate|||verb|||—anticipatory
anticlericalism	anticlerical|||adjective|||—anticlericalism
Antiguan	Antigua|||noun|||—Antiguan
anti-Semitic	anti-Semite|||noun|||—anti-Semitic
anxiously	anxious|||adjective|||—anxiously
apathetically	apathetic|||adjective|||—apathetically
aphoristic	aphorism|||noun|||—aphoristic
apologetically	apologetic|||adjective|||—apologetically
appallingly	appalling|||adjective|||—appallingly
appealingly	appealing|||adjective|||—appealingly
appeasement	appease|||verb|||—appeasement
applicability	applicable|||adjective|||—applicability
appointee	appoint|||verb|||—appointee
apportionment	apportion|||verb|||—apportionment
appositely	apposite|||adjective|||—appositely,—appositeness
appositeness	apposite|||adjective|||—appositely,—appositeness
appreciably	appreciable|||adjective|||—appreciably
appreciatively	appreciative|||adjective|||—appreciatively
apprehensively	apprehensive|||adjective|||—apprehensively
appropriateness	appropriate|||adjective|||—appropriateness
approvingly	approving|||adjective|||—approvingly
aptness	apt|||adjective|||—aptness
Aquarian	Aquarius|||noun|||—Aquarian
arbitrageur	arbitrage|||noun|||—arbitrageur
arbitrarily	arbitrary|||adjective|||—arbitrariness,—arbitrarily
arbitrariness	arbitrary|||adjective|||—arbitrariness,—arbitrarily
arbitrator	arbitrate|||verb|||—arbitrator
archaeological	archaeology|||noun|||—archaeologist,—archaeological,—archaeologically
archaeologically	archaeology|||noun|||—archaeologist,—archaeological,—archaeologically
archaeologist	archaeology|||noun|||—archaeologist,—archaeological,—archaeologically
archetypal	archetype|||noun|||—archetypal
architectural	architecture|||noun|||—architectural,—architecturally
architecturally	architecture|||noun|||—architectural,—architecturally
archival	archive|||noun|||—archive,—archival
archiving	archive|||verb|||—archiving
archly	arch|||adjective|||—archly
ardently	ardent|||adjective|||—ardently
arduously	arduous|||adjective|||—arduously
aridity	arid|||adjective|||—aridity
Aristotelian	Aristotle|||adjective|||—Aristotelian
arithmetically	arithmetic|||adjective|||—arithmetically
Armenian	Armenia|||noun|||—Armenian
armour plate	armour-plated|||adjective|||—armour plating,—armour plate
armour plating	armour-plated|||adjective|||—armour plating,—armour plate
aromatherapist	aromatherapy|||noun|||—aromatherapist
arraignment	arraign|||verb|||—arraignment
arrogantly	arrogant|||adjective|||—arrogantly
arse-licking	arse-licker|||noun|||—arse-licking
artfully	artful|||adjective|||—artfully,—artfulness
artfulness	artful|||adjective|||—artfully,—artfulness
arthritic	arthritis|||noun|||—arthritic
Arthurian	Arthur|||adjective|||—Arthurian
articulately	articulate|||adjective|||—articulately
artificiality	artificial|||adjective|||—artificially,—artificiality
artificially	artificial|||adjective|||—artificially,—artificiality
artistically	artistic|||adjective|||—artistically
artlessly	artless|||adjective|||—artlessly,—artlessness
artlessness	artless|||adjective|||—artlessly,—artlessness
ascertainable	ascertain|||verb|||—ascertainable
asceticism	ascetic|||adjective|||—ascetic,—asceticism
ascribable	ascribe|||verb|||—ascribable
asexually	asexual|||adjective|||—asexually
asphyxiation	asphyxiate|||verb|||—asphyxiation
assertively	assertive|||adjective|||—assertively,—assertiveness
assertiveness	assertive|||adjective|||—assertively,—assertiveness
assiduity	assiduous|||adjective|||—assiduously,—assiduity
assiduously	assiduous|||adjective|||—assiduously,—assiduity
Assyrians	Assyrian|||adjective|||—Assyrians, the
astonishingly	astonishing|||adjective|||—astonishingly
astoundingly	astounding|||adjective|||—astoundingly
astringency	astringent|||adjective|||—astringency
astrological	astrology|||noun|||—astrological
astronomically	astronomical|||adjective|||—astronomically
astrophysicist	astrophysics|||noun|||—astrophysicist
astroturfer	astroturfing|||noun|||—astroturfer
astutely	astute|||adjective|||—astutely,—astuteness
astuteness	astute|||adjective|||—astutely,—astuteness
asymmetrically	asymmetrical|||adjective|||—asymmetrically,—asymmetry
asymmetry	asymmetrical|||adjective|||—asymmetrically,—asymmetry
-ately	-ate|||suffix|||—-ately
atheist	atheism|||noun|||—atheist,—atheistic
atheistic	atheism|||noun|||—atheist,—atheistic
Athenian	Athens|||adjective|||—Athenian
atonality	atonal|||adjective|||—atonality
atrociously	atrocious|||adjective|||—atrociously
attainable	attain|||verb|||—attainable
attentively	attentive|||adjective|||—attentively,—attentiveness
attentiveness	attentive|||adjective|||—attentively,—attentiveness
attitudinal	attitude|||noun|||—attitudinal
attractively	attractive|||adjective|||—attractively,—attractiveness
attractiveness	attractive|||adjective|||—attractively,—attractiveness
attribution	attribute|||verb|||—attribution
attributively	attributive|||adjective|||—attributively
audaciously	audacious|||adjective|||—audaciously
audibility	audible|||adjective|||—audibly,—audibility
audibly	audible|||adjective|||—audibly,—audibility
augmentation	augment|||verb|||—augmentation
aurally	aural|||adjective|||—aurally
auspiciously	auspicious|||adjective|||—auspiciously
austerely	austere|||adjective|||—austerely
authentically	authentic|||adjective|||—authentically
authentication	authenticate|||verb|||—authentication
authorial	author|||noun|||—authorial
authoritarianism	authoritarian|||adjective|||—authoritarian,—authoritarianism
authoritatively	authoritative|||adjective|||—authoritatively
autistic	autism|||noun|||—autistic
autobiographical	autobiography|||noun|||—autobiographical
autocratic	autocrat|||noun|||—autocratic,—autocratically
autocratically	autocrat|||noun|||—autocratic,—autocratically
autonomously	autonomous|||adjective|||—autonomously
avaricious	avarice|||noun|||—avaricious,—avariciously
avariciously	avarice|||noun|||—avaricious,—avariciously
avenger	avenge|||verb|||—avenger
avowal	avow|||verb|||—avowal
awed	awe|||verb|||—awed
awesomely	awesome|||adjective|||—awesomely
awfulness	awful|||adjective|||—awfulness
awkwardly	awkward|||adjective|||—awkwardly,—awkwardness
awkwardness	awkward|||adjective|||—awkwardly,—awkwardness
axiomatically	axiomatic|||adjective|||—axiomatically
Azerbaijani	Azerbaijan|||noun|||—Azerbaijani
babbler	babble|||verb|||—babbler
babysitter	babysit|||verb|||—babysitting,—babysitter
babysitting	babysit|||verb|||—babysitting,—babysitter
back-office	back office|||noun|||—back-office
backslider	backslide|||verb|||—backslider
backstabber	backstabbing|||noun|||—backstabber
backwardness	backward|||adjective|||—backwardness
bacterial	bacteria|||noun|||—bacterial
bacteriological	bacteriology|||noun|||—bacteriologist,—bacteriological
bacteriologist	bacteriology|||noun|||—bacteriologist,—bacteriological
badass	bad-ass|||adjective|||—bad-ass,,—badass
badness	bad|||adjective|||—badness
baffled	baffle|||verb|||—baffled,—baffling,—bafflement
bafflement	baffle|||verb|||—baffled,—baffling,—bafflement
baffling	baffle|||verb|||—baffled,—baffling,—bafflement
bagpipe	bagpipes|||noun|||—bagpipe
baldness	bald|||adjective|||—baldness
balefully	baleful|||adjective|||—balefully
banality	banal|||adjective|||—banality
banditry	bandit|||noun|||—banditry
bandy-legged	bandy|||adjective|||—bandy-legged
banishment	banish|||verb|||—banishment
banner advertising	banner ad|||noun|||—ˈbanner ˌadvertising
banning	ban|||verb|||—banning
bantering	banter|||noun|||—banter,—bantering
baptismal	baptism|||noun|||—baptismal
barbarously	barbarous|||adjective|||—barbarously
bareness	bare|||adjective|||—bareness
bargainer	bargain|||verb|||—bargainer
bariatric	bariatrics|||noun|||—bariatric
barnstormer	barnstorm|||verb|||—barnstormer
barometric	barometer|||noun|||—barometric,—barometrically
barometrically	barometer|||noun|||—barometric,—barometrically
basal	base|||noun|||—basal
-basher	bash|||verb|||—-basher
bashfully	bashful|||adjective|||—bashfully,—bashfulness
bashfulness	bashful|||adjective|||—bashfully,—bashfulness
bassoonist	bassoon|||noun|||—bassoonist
bawdiness	bawdy|||adjective|||—bawdiness
bearably	bearable|||adjective|||—bearably
bearded	beard|||noun|||—bearded
bearishly	bearish|||adjective|||—bearishly,—bearishness
bearishness	bearish|||adjective|||—bearishly,—bearishness
beastliness	beastly|||adjective|||—beastly,—beastliness
beatboxing	beatbox|||noun|||—beatboxing
beatifically	beatific|||adjective|||—beatifically
beatification	beatify|||verb|||—beatification
beauteously	beauteous|||adjective|||—beauteously
beautifully	beautiful|||adjective|||—beautifully
becomingly	becoming|||adjective|||—becomingly
beekeeping	beekeeper|||noun|||—beekeeping
beery	beer|||noun|||—beery
begetter	beget|||verb|||—begetter
beguilingly	beguiling|||adjective|||—beguilingly
behavioural	behaviour|||noun|||—behavioural,—behaviourally
behaviourally	behaviour|||noun|||—behavioural,—behaviourally
behaviourist	behaviourism|||noun|||—behaviourist
beholder	behold|||verb|||—beholder
Belarusian	Belarus|||adjective|||—Belarusian
belatedly	belated|||adjective|||—belatedly
bellicosity	bellicose|||adjective|||—bellicosity
belligerence, belligerency	belligerent|||adjective|||—belligerence, belligerency
bell-ringing	bell-ringer|||noun|||—bell-ringing
belly dancer	belly dance|||noun|||—belly dancer,—belly dancing
belly dancing	belly dance|||noun|||—belly dancer,—belly dancing
bellyflop	belly flop|||noun|||—bellyflop
belonging	belong|||verb|||—belonging
bemuse	bemused|||adjective|||—bemusedly,—bemusement,—bemuse
bemusedly	bemused|||adjective|||—bemusedly,—bemusement,—bemuse
bemusement	bemused|||adjective|||—bemusedly,—bemusement,—bemuse
benchmarking	benchmark|||verb|||—benchmarking
beneficence	beneficent|||adjective|||—beneficence,—beneficently
beneficently	beneficent|||adjective|||—beneficence,—beneficently
beneficially	beneficial|||adjective|||—beneficially
benevolence	benevolent|||adjective|||—benevolence,—benevolently
benevolently	benevolent|||adjective|||—benevolence,—benevolently
benightedly	benighted|||adjective|||—benightedly
bestially	bestial|||adjective|||—bestially
best-selling	best-seller|||noun|||—best-selling
betrayer	betray|||verb|||—betrayer
betroth	betrothed|||adjective|||—betroth
bevelled	bevel|||noun|||—bevelled
bewilderingly	bewildering|||adjective|||—bewilderingly
bewitching	bewitch|||verb|||—bewitching
bible-bashing	bible-basher|||noun|||—bible-bashing
bibliographer	bibliography|||noun|||—bibliographer
bickering	bicker|||verb|||—bickering
bicyclist	bicycle|||verb|||—bicyclist
biennially	biennial|||adjective|||—biennially
bifocal	bifocals|||noun|||—bifocal
bifurcation	bifurcate|||verb|||—bifurcation
bigamist	bigamy|||noun|||—bigamist,—bigamous
bigamous	bigamy|||noun|||—bigamist,—bigamous
big-band	big band|||noun|||—big-band
big-head	big-headed|||adjective|||—ˈbig-head
big-time	big time|||noun|||—big-time
bilaterally	bilateral|||adjective|||—bilaterally
biliousness	bilious|||adjective|||—biliousness
billiard	billiards|||noun|||—billiard
billionth	billion|||number|||—billionth,—billionth@@@billion|||number|||—billionth,—billionth
binge drinker	binge drinking|||noun|||—binge drinker
biochemical	biochemistry|||noun|||—biochemical
biodynamics	biodynamic|||adjective|||—biodynamics
biographical	biography|||noun|||—biographical
biologically	biological|||adjective|||—biologically
bioprospect	bioprospecting|||noun|||—bioprospect,—bioprospector
bioprospector	bioprospecting|||noun|||—bioprospect,—bioprospector
biotechnological	biotechnology|||noun|||—biotechnological
bioterrorist	bioterrorism|||noun|||—bioterrorist
bird-watching	bird-watcher|||noun|||—bird-watching
bisexuality	bisexual|||adjective|||—bisexual,—bisexuality
bitchily	bitchy|||adjective|||—bitchily,—bitchiness
bitchiness	bitchy|||adjective|||—bitchily,—bitchiness
bitingly	biting|||adjective|||—bitingly
bitmapped	bitmap|||noun|||—bitmapped
bitterness	bitter|||adjective|||—bitterness
bittiness	bitty|||adjective|||—bittiness
bituminous	bitumen|||noun|||—bituminous
bizarrely	bizarre|||adjective|||—bizarrely
blackmailer	blackmail|||verb|||—blackmailer
blackness	black|||adjective|||—blackness
Blairist	Blairism|||noun|||—Blairist
blamelessly	blameless|||adjective|||—blamelessly
blandly	bland|||adjective|||—blandly,—blandness
blandness	bland|||adjective|||—blandly,—blandness
blankness	blank|||adjective|||—blankness
blasphemer	blaspheme|||verb|||—blasphemer
blasphemous	blasphemy|||noun|||—blasphemous,—blasphemously
blasphemously	blasphemy|||noun|||—blasphemous,—blasphemously
blatantly	blatant|||adjective|||—blatantly
bleakly	bleak|||adjective|||—bleakly,—bleakness
bleakness	bleak|||adjective|||—bleakly,—bleakness
blearily	bleary|||adjective|||—blearily,—bleariness
bleariness	bleary|||adjective|||—blearily,—bleariness
blemished	blemish|||verb|||—blemished
blessedly	blessed|||adjective|||—blessedly,—blessedness
blessedness	blessed|||adjective|||—blessedly,—blessedness
blight‧ed	blight|||verb|||—blight‧ed
Blimpish	Blimp|||noun|||—Blimpish
blindness	blind|||adjective|||—blindness
blissfully	blissful|||adjective|||—blissfully
bliss out	blissed-out|||adjective|||—bliss out
blistered	blister|||verb|||—blistered
blisteringly	blistering|||adjective|||—blisteringly
blockbusting	blockbuster|||noun|||—blockbusting
blogger	blog|||noun|||—blog,—blogger
bloodlessly	bloodless|||adjective|||—bloodlessly
bloodstained	bloodstain|||noun|||—bloodstained
bloody-mindedness	bloody-minded|||adjective|||—bloody-mindedness
blotched	blotch|||noun|||—blotchy,—blotched
blotchy	blotch|||noun|||—blotchy,—blotched
blue-blood	blue-blooded|||adjective|||—blue-blood
blue chip	blue-chip|||adjective|||—blue chip
bluejack	bluejacking|||noun|||—bluejack,—bluejacker
bluejacker	bluejacking|||noun|||—bluejack,—bluejacker
blueness	blue|||adjective|||—blueness
bluntness	blunt|||adjective|||—bluntness
blurry	blur|||verb|||—blurry
blushingly	blush|||verb|||—blushingly
blustering	bluster|||verb|||—bluster,—blustering
BMXing	BMX|||noun|||—BMXing
boaster	boast|||verb|||—boaster
boastfully	boastful|||adjective|||—boastfully,—boastfulness
boastfulness	boastful|||adjective|||—boastfully,—boastfulness
bobbly	bobble|||noun|||—bobbly
bodyboarding	bodyboard|||noun|||—bodyboarding
body builder	body building|||noun|||—body builder
body-search	body search|||noun|||—body-search
boldfaced	boldface|||noun|||—boldfaced,—boldface
boldly	bold|||adjective|||—boldly,—boldness
boldness	bold|||adjective|||—boldly,—boldness
bolshevik	Bolshevik|||noun|||—bolshevik
bolshiness	bolshie|||adjective|||—bolshiness
bombast	bombastic|||adjective|||—bombast
booby-trapped	booby trap|||noun|||—booby-trapped,—booby trap
bookbinder	bookbinding|||noun|||—bookbinder
bookcrosser	bookcrossing|||noun|||—bookcrosser
booming	boom|||verb|||—booming
boorish	boor|||noun|||—boorish,—boorishly
boorishly	boor|||noun|||—boorish,—boorishly
bootlegger	bootleg|||verb|||—bootlegger,—bootlegging
bootlegging	bootleg|||verb|||—bootlegger,—bootlegging
booze	boozing|||noun|||—booze@@@booze|||noun|||@@@booze|||verb|||
bossily	bossy|||adjective|||—bossily,—bossiness
bossiness	bossy|||adjective|||—bossily,—bossiness
botanically	botanical|||adjective|||—botanically
bottle-fed	bottle-feed|||verb|||—bottle-feeding,—bottle-fed
bottle-feeding	bottle-feed|||verb|||—bottle-feeding,—bottle-fed
bottom-line	bottom line|||noun|||—bottom-line
bouncily	bouncy|||adjective|||—bouncily,—bounciness
bounciness	bouncy|||adjective|||—bouncily,—bounciness
boundlessly	boundless|||adjective|||—boundlessly,—boundlessness
boundlessness	boundless|||adjective|||—boundlessly,—boundlessness
bow-legged	bow legs|||noun|||—bow-legged
boyishly	boyish|||adjective|||—boyishly,—boyishness
boyishness	boyish|||adjective|||—boyishly,—boyishness
braided	braid|||noun|||—braided
brain-damaged	brain damage|||noun|||—brain-damaged
brainlessly	brainless|||adjective|||—brainlessly
brainwashing	brainwash|||verb|||—brainwashing
braised	braise|||verb|||—braised
brashly	brash|||adjective|||—brashly,—brashness
brashness	brash|||adjective|||—brashly,—brashness
bratty	brat|||noun|||—bratty
bravely	brave|||adjective|||—bravely
brawler	brawl|||verb|||—brawler
breathlessly	breathless|||adjective|||—breathlessly,—breathlessness
breathlessness	breathless|||adjective|||—breathlessly,—breathlessness
breathtakingly	breathtaking|||adjective|||—breathtakingly
Brechtian	Brecht, Bertolt|||adjective|||—Brechtian
breezily	breezy|||adjective|||—breezily
-brian	Cumbria|||adjective|||—-brian
bricklaying	bricklayer|||noun|||—bricklaying
brightly	bright|||adjective|||—brightly,—brightness
brightness	bright|||adjective|||—brightly,—brightness
brilliantly	brilliant|||adjective|||—brilliantly
brindle	brindled|||adjective|||—brindle
briskly	brisk|||adjective|||—briskly,—briskness
briskness	brisk|||adjective|||—briskly,—briskness
Britishness	British|||adjective|||—Britishness
broad-mindedness	broadminded|||adjective|||—broad-mindedness
brocaded	brocade|||noun|||—brocaded
bronchitic	bronchitis|||noun|||—bronchitic
bronze medallist	bronze medal|||noun|||—bronze medallist
broodiness	broody|||adjective|||—broodiness
broodingly	brooding|||adjective|||—broodingly
brown-bagging	brown-bag|||verb|||—brown-bagging
brown-noser	brown-nose|||verb|||—brown-noser,—brown-nosing
brown-nosing	brown-nose|||verb|||—brown-noser,—brown-nosing
bruised	bruise|||verb|||—bruised
brusquely	brusque|||adjective|||—brusquely,—brusqueness
brusqueness	brusque|||adjective|||—brusquely,—brusqueness
brutalism	brutalist|||adjective|||—brutalism
brutalization	brutalize|||verb|||—brutalization
brutally	brutal|||adjective|||—brutally
brutishness	brutish|||adjective|||—brutishness
buck-toothed	buck teeth|||noun|||—buck-toothed
Buddhist	Buddhism|||noun|||—Buddhist,—Buddhist@@@Buddhism|||noun|||—Buddhist,—Buddhist
budgeting	budget|||verb|||—budgeting
buffeting	buffet|||verb|||—buffeting
buffoonery	buffoon|||noun|||—buffoonery
bugler	bugle|||noun|||—bugler
bulgy	bulge|||noun|||—bulgy
bulimic	bulimia|||noun|||—bulimic
bulkiness	bulky|||adjective|||—bulkiness
bullbarred	bull bars|||noun|||—bullbarred
bullfighter	bullfight|||noun|||—bullfighter,—bullfighting
bullfighting	bullfight|||noun|||—bullfighter,—bullfighting
bullheadedly	bull-headed|||adjective|||—bullheadedly
bullishly	bullish|||adjective|||—bullishly,—bullishness
bullishness	bullish|||adjective|||—bullishly,—bullishness
bullshitter	bullshit|||verb|||—bullshitter
bullying	bully|||verb|||—bullying,—bully-off
bully-off	bully|||verb|||—bullying,—bully-off
bumptiously	bumptious|||adjective|||—bumptiously,—bumptiousness
bumptiousness	bumptious|||adjective|||—bumptiously,—bumptiousness
bungee jump	bungee jumping|||noun|||—bungee jump,—bungee jumper
bungee jumper	bungee jumping|||noun|||—bungee jump,—bungee jumper
bungled	bungle|||verb|||—bungled,—bungle,—bungler
bungler	bungle|||verb|||—bungled,—bungle,—bungler
buoyantly	buoyant|||adjective|||—buoyantly
bureaucratically	bureaucratic|||adjective|||—bureaucratically
burnished	burnish|||verb|||—burnished
Burundian	Burundi|||noun|||—Burundian
bushiness	bushy|||adjective|||—bushiness
busker	busk|||verb|||—busker
buttery	butter|||noun|||—buttery
cacophonous	cacophony|||noun|||—cacophonous
caffeinated	caffeine|||noun|||—caffeinated
cage fighter	cage fighting|||noun|||—cage fighter
cagily	cagey|||adjective|||—cagily,—caginess
caginess	cagey|||adjective|||—cagily,—caginess
calamitous	calamity|||noun|||—calamitous
calculatedly	calculated|||adjective|||—calculatedly
