aback	aback	 adverb	surprised
abroad	abroad	 adverb	to travel to another country
abrupt	abrupt	 adjective	when someone speaks to you in a rude way, using very few words
abrupt	abrupt	 adjective	something that happens suddenly
abrupt	abrupt	 adjective	suddenly
abruptness	abrupt	 adjective	when someone speaks to you in a rude way, using very few words
abruptness	abrupt	 adjective	something that happens suddenly
abruptness	abrupt	 adjective	suddenly
absent	absent	 adjective	to not be here
absent	absent	 adjective	to not be there
absent-minded	absent-minded	 adjective	someone who often forgets things
absent-mindedly	absent-minded	 adjective	someone who often forgets things
absent-mindedness	absent-minded	 adjective	someone who often forgets things
absolute	absolute	 adjective	completely and in every way
absolutely	absolutely	 adverb	completely and in every way
absolutely	absolutely	 adverb	extremely
absorb	absorb	 verb	to pay so much attention to something that you do not notice other things
absorb	absorb	 verb	so interested that you give all your attention to something
absorb	absorb	 verb	to understand new facts after studying them
absorbing	absorbing	 adjective	something that makes you feel interested
abstain	abstain	 verb	to decide it is better not to do something
abstain	abstain	 verb	to not allow yourself to have something you need
abstract	abstract	 adjective	when pictures, films etc do not make things seem real
absurd	absurd	 adjective	very stupid
absurdity	absurd	 adjective	very stupid
abundance	abundance	 noun	more than enough of something that people need or want
abundant	abundant	 adjective	more than enough of something that people need or want
abuse	abuse	 noun	cruel behaviour
abuse	abuse	 noun	words or actions that insult someone
abuse	abuse	 noun	to be very rude to someone
abuse	abuse	 verb	to treat a person or animal in a cruel way
abuse	abuse	 verb	to be very rude to someone
abuse	abuse	 verb	to attack or harm someone in a sexual way
abuse	abuse	 verb	to use something wrongly
abuser	abuse	 verb	to treat a person or animal in a cruel way
abuser	abuse	 verb	to be very rude to someone
abuser	abuse	 verb	to attack or harm someone in a sexual way
abuser	abuse	 verb	to use something wrongly
abusive	abusive	 adjective	language or behaviour that insults someone
abusively	abusive	 adjective	language or behaviour that insults someone
abusiveness	abusive	 adjective	language or behaviour that insults someone
abyss	abyss	 noun	a hole in the ground or in the surface of something
academic	academic	 adjective	intelligent and well-educated
academic	academic	 adjective	the process of studying and being taught
academic	academic	 adjective	one of the periods into which the year is divided at school, university etc
academic	academic	 noun	someone who teaches
academically	academic	 adjective	intelligent and well-educated
academically	academic	 adjective	the process of studying and being taught
academically	academic	 adjective	one of the periods into which the year is divided at school, university etc
accede	accede	 verb	to accept something after first refusing or opposing it
accelerate	accelerate	 verb	to move or work faster
accent	accent	 noun	when something is particularly emphasized
accent	accent	 noun	the way someone speaks
accentuate	accentuate	 verb	to emphasize something
accentuation	accentuate	 verb	to emphasize something
accept	accept	 verb	to accept an offer, invitation, or request
accept	accept	 verb	to take money or a gift that someone offers you
accept	accept	 verb	to accept that something is right
accept	accept	 verb	to accept something after first refusing or opposing it
accept	accept	 verb	to accept a situation that you do not like
accept	accept	 verb	to officially accept a new law or proposal
accept	accept	 verb	to accept that something has legal or official authority
accept	accept	 verb	to accept something as payment
accept	accept	 verb	to believe that something is true
accept	accept	 verb	to stop trying to win
accept	accept	 verb	to reject an offer or suggestion
accept	accept	 verb	to state very firmly that you do not agree with something
acceptability	acceptable	 adjective	good enough
acceptable	acceptable	 adjective	good enough
acceptably	acceptable	 adjective	good enough
access	access	 noun	somewhere where you enter
access	access	 noun	to enter a place illegally or by using force
accessibility	accessible	 adjective	to reach a place that you are travelling to
accessibility	accessible	 adjective	easy to understand
accessible	accessible	 adjective	to reach a place that you are travelling to
accessible	accessible	 adjective	easy to understand
accessibly	accessible	 adjective	to reach a place that you are travelling to
accessibly	accessible	 adjective	easy to understand
accident	accident	 noun	at work, at home, when doing a sport etc
accident	accident	 noun	in a car, train, plane etc
accident	accident	 noun	to have an accident
accident	accident	 noun	when you do something without intending to do it
accident	accident	 noun	when something happens without being planned
accidental	accidental	 adjective	when you do something without intending to do it
accidental	accidental	 adjective	happening by chance
acclaimed	acclaimed	 adjective	to be praised in newspapers or by many people
acclimatization	acclimatize	 verb	to gradually become used to something
acclimatize	acclimatize	 verb	to gradually become used to something
accommodate	accommodate	 verb	to provide someone with a place to live
accommodating	accommodating	 adjective	words for describing someone who is helpful
accommodation	accommodation	 noun	a place for someone to live
accommodation	accommodation	 noun	a place where you can stay for a short period of time
accompanist	accompanist	 noun	someone who plays music
accompany	accompany	 verb	with another thing or other things
accompany	accompany	 verb	in the same place with another person
accomplice	accomplice	 noun	someone who helps another person to do something
accomplice	accomplice	 noun	someone who does something with someone else
accomplish	accomplish	 verb	to succeed in doing something
accomplished	accomplished	 adjective	good at something because you have experience or training
accomplishment	accomplishment	 noun	something that you succeed in doing
according to	according to	 preposition	when what happens is influenced by other facts or events
according to	according to	 preposition	what people say about something
account	account	 noun	what you say when you are advising someone
account	account	 noun	what you say when you are giving the reason for something
account	account	 noun	a written or spoken description
account	account	 noun	to describe someone or something
account	account	 noun	with a lot of details
account	account	 noun	the words you write or say to explain something
account	account	 verb	to form a particular part or amount of something
account	account	 verb	to tell someone the reason for something
account	account	 verb	to be the reason why something happened or why someone does something
accumulate	accumulate	 verb	to get more of something over a long period of time
accumulate	accumulate	 verb	to increase by gradually adding more
accumulation	accumulate	 verb	to get more of something over a long period of time
accumulation	accumulate	 verb	to increase by gradually adding more
accurate	accurate	 adjective	an exact description/translation/copy
accurate	accurate	 adjective	answers, statements, calculations etc that are correct
accurate	accurate	 adjective	when something is true
accurately	accurate	 adjective	an exact description/translation/copy
accurately	accurate	 adjective	answers, statements, calculations etc that are correct
accurately	accurate	 adjective	when something is true
accusation	accusation	 noun	to say that you think someone has done something bad 
accuse	accuse	 verb	to say that you think someone has done something bad 
accuse	accuse	 verb	when someone is officially accused of a crime
accuse	accuse	 verb	an official statement accusing someone of a crime
accuse	accuse	 verb	someone who is accused of a crime in a trial
accuse	accuse	 verb	someone who officially tries to prove that someone is guilty
accuse	accuse	 verb	to blame someone for something
accused	accused	 noun	someone who is accused of a crime in a trial
accused	accused	 noun	the people in the legal process
accuser	accuse	 verb	to say that you think someone has done something bad 
accuser	accuse	 verb	when someone is officially accused of a crime
accuser	accuse	 verb	an official statement accusing someone of a crime
accuser	accuse	 verb	someone who is accused of a crime in a trial
accuser	accuse	 verb	someone who officially tries to prove that someone is guilty
accuser	accuse	 verb	to blame someone for something
accusing	accusing	 adjective	to say that you think someone has done something bad 
accusingly	accusing	 adjective	to say that you think someone has done something bad 
accustomed	accustomed	 adjective	to be used to something
accustomed	accustomed	 adjective	to gradually become used to something
accustomed	accustomed	 adjective	not used to something
ache	ache	 verb	when a part of your body feels painful
ache	ache	 noun	pain
achievable	achieve	 verb	to succeed in doing something
achieve	achieve	 verb	to succeed in doing something
achievement	achievement	 noun	something that you succeed in doing
achiever	achiever	 noun	a successful person
achy	ache	 noun	pain
acid rain	acid rain	 noun	damage to the environment
acknowledge	acknowledge	 verb	to accept that something has legal or official authority
acknowledge	acknowledge	 verb	to admit that something is true
acknowledge	acknowledge	 verb	to answer a letter, invitation, e-mail etc
acknowledge	acknowledge	 verb	to say thank you to someone
acknowledge	acknowledge	 verb	to have a particular opinion
acknowledgement	acknowledgement	 noun	something you write as an answer
acoustic	acoustic	 adjective	using sound or connected with sound
acoustically	acoustic	 adjective	using sound or connected with sound
acquaintance	acquaintance	 noun	a friend
acquaintance	acquaintance	 noun	someone you know, but not very well
acquaintance	acquaintance	 noun	when you meet someone for the first time
acquainted	acquainted	 adjective	to know a place, a film, a book etc
acquainted	acquainted	 adjective	to know someone
acquainted	acquainted	 adjective	to start to know someone
acquire	acquire	 verb	to buy something
acquire	acquire	 verb	to get something by buying it, asking for it, or finding it
acquit	acquit	 verb	when a law court decides that someone is innocent
acrid	acrid	 adjective	to have a bad smell
across	across	 adverb	to go across a place
across	across	 adverb	for everyone or affecting everyone
across	across	 adverb	to be opposite something or someone
across	across	 adverb	how wide something is
act	act	 noun	something that someone does
act	act	 noun	an official rule that everyone must obey
act	act	 noun	something that is performed in public to entertain people
act	act	 noun	to start taking part
act	act	 verb	to perform in plays, films etc
act	act	 verb	to behave in a particular way
act	act	 verb	to behave badly
act	act	 verb	to do something in order to deal with a bad situation
act	act	 verb	to represent a person or group
acting	acting	 adjective	someone who replaces another person
acting	acting	 noun	the activity or study of acting
action	action	 noun	machines, cars, phones etc that do not work
action	action	 noun	to stop a machine from working
action	action	 noun	a particular way of dealing with something
action	action	 noun	something that someone does in order to deal with a situation
action	action	 noun	something that someone does
action	action	 noun	when someone is doing something
action	action	 noun	to do something in order to deal with a bad situation
action	action	 noun	to not do something that you should do
action	action	 noun	types of film
action	action	 noun	during a war
action-packed	action-packed	 adjective	exciting
action-packed	action-packed	 adjective	when a lot of things happen
activate	activate	 verb	when something starts a natural process
activate	activate	 verb	to switch something on
activation	activate	 verb	when something starts a natural process
activation	activate	 verb	to switch something on
active	active	 adjective	when someone is doing something
active	active	 adjective	very active and full of energy
active	active	 adjective	to take part in an event, activity, discussion etc
activist	activist	 noun	people who are concerned about the environment
activist	activist	 noun	someone who encourages rebellion
activity	activity	 noun	something that people do for enjoyment
activity	activity	 noun	something that someone does
actor	actor	 noun	someone who performs in plays, films etc
actor	actor	 noun	to perform in plays, films etc
actor	actor	 noun	the activity or study of acting
actor	actor	 noun	the most important actor in a play, film etc
actor	actor	 noun	when a play, film etc has a particular actor in it
actor	actor	 noun	the person that an actor pretends to be in a play, film etc
actress	actress	 noun	someone who performs in plays, films etc
actress	actress	 noun	to perform in plays, films etc
actress	actress	 noun	the activity or study of acting
actress	actress	 noun	the most important actor in a play, film etc
actress	actress	 noun	when a play, film etc has a particular actor in it
actress	actress	 noun	the person that an actor pretends to be in a play, film etc
actual	actual	 adjective	when things or people really exist
actually	actually	 adverb	when the real situation is different from what people think
actually	actually	 adverb	when what really happens is different from stories, films etc
actually	actually	 adverb	when you want to add something surprising or interesting to what you are saying
acute	acute	 adjective	when a situation, problem accident etc is bad
acuteness	acute	 adjective	when a situation, problem accident etc is bad
ad	ad	 noun	an advertisement
adamant	adamant	 adjective	determined to do something
adamant	adamant	 adjective	to say firmly that someone must do something or that something must happen
adamantly	adamant	 adjective	determined to do something
adamantly	adamant	 adjective	to say firmly that someone must do something or that something must happen
adapt	adapt	 verb	to change something for a particular use or purpose
adapt	adapt	 verb	to gradually become used to something
adaptability	adaptable	 adjective	easy to change
adaptability	adaptable	 adjective	willing to change the way you do something
adaptable	adaptable	 adjective	easy to change
adaptable	adaptable	 adjective	willing to change the way you do something
adaptation	adaptation	 noun	a change made in order to use something for another purpose
adapted	adapt	 verb	to change something for a particular use or purpose
adapted	adapt	 verb	to gradually become used to something
add	add	 verb	to add a new part or piece to something
add	add	 verb	to add more to an amount or cost
add	add	 verb	to add something to something you are cooking or mixing
add	add	 verb	to add a quality or characteristic to something
add	add	 verb	to add something to what has already been said or written
add	add	 verb	something that is added
add	add	 verb	when a group of people or things form something together
add	add	 verb	to add one number to another
add	add	 verb	to count numbers, objects etc in order to find the total
add	add	 verb	to increase by adding another number or amount
add	add	 verb	to make something more interesting
add	add	 verb	ideas that are logical
add	add	 verb	not logical
add	add	 verb	to say something
add	add	 verb	when several numbers produce another number as a total
add	add	 verb	to make something different and more varied
added	added	 adjective	more of the same thing, or another one of the same things
addict	addict	 noun	someone who is addicted to a drug
addict	addict	 noun	someone who likes something very much
addicted	addicted	 adjective	addicted to drugs, alcohol, tobacco etc
addicted	addicted	 adjective	someone who is addicted to a drug
addicted	addicted	 adjective	when a drug or other substance makes people addicted
addicted	addicted	 adjective	the need to have a drug etc regularly
addicted	addicted	 adjective	to like something very much
addiction	addiction	 noun	the need to have a drug etc regularly
addictive	addictive	 adjective	when a drug or other substance makes people addicted
addition	addition	 noun	something that is added
addition	addition	 noun	and/also
additional	additional	 adjective	one more of the same kind
additional	additional	 adjective	more of the same thing, or another one of the same things
additive	additive	 noun	something that is added
add-on	add-on	 noun	something that is added
address	address	 noun	where someone lives
address	address	 verb	when someone makes a speech
adept	adept	 adjective	good at something because you have experience or training
adeptly	adept	 adjective	good at something because you have experience or training
adequacy	adequate	 adjective	when there is enough of something you need
adequacy	adequate	 adjective	big enough, strong enough, old enough etc
adequacy	adequate	 adjective	good enough
adequate	adequate	 adjective	when there is enough of something you need
adequate	adequate	 adjective	big enough, strong enough, old enough etc
adequate	adequate	 adjective	good enough
adhere	adhere	 verb	when one thing sticks to another
adhesive	adhesive	 noun	something that will stick to something else
adjacent	adjacent	 adjective	when something is next to something else
adjoin	adjoin	 verb	to be in a position next to something
adjoin	adjoin	 verb	when something is next to something else
adjoining	adjoin	 verb	to be in a position next to something
adjoining	adjoin	 verb	when something is next to something else
adjourn	adjourn	 verb	to stop doing something in order to rest, eat etc
adjourn	adjourn	 verb	a short period of time when schoolwork, a meeting, a game etc stops
adjournment	adjourn	 verb	to stop doing something in order to rest, eat etc
adjournment	adjourn	 verb	a short period of time when schoolwork, a meeting, a game etc stops
adjudicate	adjudicate	 verb	to decide who is right in a quarrel
adjudication	adjudicate	 verb	to decide who is right in a quarrel
adjudicator	adjudicate	 verb	to decide who is right in a quarrel
adjust	adjust	 verb	to make small changes to something in order to improve it
adjust	adjust	 verb	to gradually become used to something
adjustment	adjustment	 noun	a small change that is made to improve or correct something
ad-lib	ad-lib	 verb	to perform without having planned or practised something
administration	administration	 noun	the people who govern a country
admirable	admirable	 adjective	a good performance/piece of work/achievement
admirably	admirable	 adjective	a good performance/piece of work/achievement
admiration	admiration	 noun	the feeling of admiring someone
admire	admire	 verb	to admire someone
admire	admire	 verb	to admire someone very much
admire	admire	 verb	someone that you greatly admire
admire	admire	 verb	the feeling of admiring someone
admire	admire	 verb	to look at somebody or something
admirer	admirer	 noun	to admire someone
admission	admission	 noun	a statement admitting that you have done something wrong
admission	admission	 noun	to enter a place
admit	admit	 verb	to admit that you have done something wrong or illegal
admit	admit	 verb	a statement admitting that you have done something wrong
admit	admit	 verb	to admit something that you feel embarrassed or ashamed about
admit	admit	 verb	to admit that something is true
admit	admit	 verb	what you say when you admit that something is true
admit	admit	 verb	what you say when you think someone should admit something
admit	admit	 verb	to admit that what you said or believed was wrong
admit	admit	 verb	to let someone enter a place
admit	admit	 verb	to stop trying to win
admittedly	admittedly	 adverb	what you say when you admit that something is true
ad nauseam	ad nauseam	 adverb	too often, in a way that is annoying
adolescence	adolescence	 noun	the time when you were young
adolescent	adolescent	 noun	a young person
adopt	adopt	 verb	to look after a child who is not your own for a long time
adoptee	adopt	 verb	to look after a child who is not your own for a long time
adopter	adopt	 verb	to look after a child who is not your own for a long time
adorable	adorable	 adjective	nice person
adore	adore	 verb	to like something very much
adore	adore	 verb	to like someone a lot and care about them
adorn	adorn	 verb	decorated in a particular way
adulation	adulation	 noun	the feeling of admiring someone
adulatory	adulation	 noun	the feeling of admiring someone
adult	adult	 noun	adult
adult	adult	 noun	to become an adult
adult	adult	 noun	the time when someone is an adult
adult	adult	 adjective	adult
adult	adult	 adjective	to become an adult
adult	adult	 adjective	the time when someone is an adult
adult	adult	 adjective	someone or something that has finished growing
adult	adult	 adjective	books, films, or pictures that are about sex
adult education	adult education	 noun	a place where people over 18 can study
adulterous	adultery	 noun	when someone has sex with someone who is not their husband, girlfriend etc
adultery	adultery	 noun	when someone has sex with someone who is not their husband, girlfriend etc
adulthood	adulthood	 noun	the time when someone is an adult
advance	advance	 noun	before you do something or before something happens
advance	advance	 noun	when something improves
advance	advance	 noun	to pay for something before you receive it
advance	advance	 noun	success when you are trying to achieve something
advance	advance	 verb	to move forward
advance	advance	 verb	to help something to happen
advance	advance	 verb	make progress when you are trying to do something
advance	advance	 verb	to be successful in your work
advance	advance	 verb	to go or come towards someone or something
advance	advance	 adjective	before you do something or before something happens
advanced	advanced	 adjective	machines, systems etc
advanced	advanced	 adjective	countries
advancement	advancement	 noun	to move to a more important job
advantage	advantage	 noun	a good feature of something
advantage	advantage	 noun	the only good feature of something
advantage	advantage	 noun	the good and bad features of something
advantage	advantage	 noun	something that makes you more likely to be successful
advantage	advantage	 noun	to have an advantage
advantage	advantage	 noun	when something gives someone an advantage
advantage	advantage	 noun	better than someone or something else
advantage	advantage	 noun	to use someone for your own advantage
advantage	advantage	 noun	to use a situation in order to gain an advantage
adventure	adventure	 noun	an exciting experience
adventure	adventure	 noun	something that happens to you
adventurous	adventurous	 adjective	not afraid to do something new and different
adventurous	adventurous	 adjective	not afraid to do possibly dangerous things
adversary	adversary	 noun	someone you are fighting against, especially in a war
adverse	adverse	 adjective	difficult conditions
adversely	adverse	 adjective	difficult conditions
adversity	adversity	 noun	something painful or unpleasant that you suffer
advertise	advertise	 verb	to advertise something
advertisement	advertisement	 noun	an advertisement
advertising	advertising	 noun	to advertise something
advertising	advertising	 noun	the activity of advertising
advertising	advertising	 noun	an advertisement
advice	advice	 noun	someone's advice about what you should do
advice	advice	 noun	what you say when you are advising someone
advice	advice	 noun	to ask someone for their advice
advice	advice	 noun	to advise someone
advice	advice	 noun	to do what someone advises you to do
advisability	advisable	 adjective	when you should so something because it is sensible or healthy
advisable	advisable	 adjective	when you should so something because it is sensible or healthy
advise	advise	 verb	to advise someone
advise	advise	 verb	what you say when you are advising someone
advise	advise	 verb	to ask someone for their advice
advise	advise	 verb	to do what someone advises you to do
advise	advise	 verb	someone's advice about what you should do
advise	advise	 verb	someone who advises people
adviser	adviser	 noun	someone who advises people
advocate	advocate	 verb	to agree with an idea/person/political party
advocate	advocate	 noun	to say that you approve of something or someone
aerobics	aerobics	 noun	activities for exercising your body
affability	affable	 adjective	behaving in a friendly way
affable	affable	 adjective	behaving in a friendly way
affably	affable	 adjective	behaving in a friendly way
affair	affair	 noun	a series of bad things that happen at the same time
affair	affair	 noun	a romantic or sexual relationship
affair	affair	 noun	to have a romantic or sexual relationship with someone
affair	affair	 noun	when someone has sex with someone who is not their husband, girlfriend etc
affect	affect	 verb	to have an effect on someone or something
affect	affect	 verb	to have a bad effect
affect	affect	 verb	to have an effect on the way people think or behave
affect	affect	 verb	the effect that something has
affect	affect	 verb	something or someone that has an effect on people's ideas or behaviour
affect	affect	 verb	having a big effect
affected	affected	 adjective	to change your way of speaking or behaving in order to impress people
affection	affection	 noun	a feeling of love
affectionate	affectionate	 adjective	showing that you love someone
affectionately	affectionate	 adjective	showing that you love someone
affiliation	affiliation	 noun	when someone is a member
affinity	affinity	 noun	the relationship between two people or groups
affirmative	affirmative	 noun	when someone asks you a question
affluence	affluent	 adjective	having a lot of money or possessions
affluent	affluent	 adjective	having a lot of money or possessions
afford	afford	 verb	not costing much money
afford	afford	 verb	to have enough of something
afford	afford	 verb	to not have enough of something
afford	afford	 verb	when something is too expensive
afford	afford	 verb	to have enough money to pay for something
affront	affront	 noun	words or actions that insult someone
afield	afield	 adverb	a long distance
afloat	afloat	 adjective	to be on the surface of water
afloat	afloat	 adjective	to not owe any money
afloat	afloat	 adjective	when something continues to exist in spite of difficulties
afoot	afoot	 adjective	ways of saying that something is being planned
afraid	afraid	 adjective	frightened of someone or something
afraid	afraid	 adjective	when you do not want to do something because you are frightened
afraid	afraid	 adjective	fear of being in high places
afraid	afraid	 adjective	ways of saying no to a question, request, or suggestion
afraid	afraid	 adjective	when someone asks you a question
afresh	afresh	 adverb	to start doing something again in a better way
after	after	 preposition	after a particular time or event
after	after	 preposition	after a particular period of time has passed
after	after	 preposition	starting to happen after now or after a particular time
after	after	 preposition	coming after someone or something else
after	after	 preposition	to happen after something else
after	after	 preposition	the person who does a particular job after someone else
after	after	 preposition	a book, film etc that comes after an earlier one
after	after	 preposition	after someone or something in a list, series, line of people etc
after	after	 preposition	to be the next person or thing after another in a list, series etc
after	after	 preposition	when the police are looking for a criminal
after	after	 preposition	doing things one after the other
after	after	 preposition	to be in a very difficult situation
after	after	 preposition	happening or doing something in a series
after	after	 preposition	ways of saying that one thing happens after another
after	after	 preposition	ways of saying what time it is
afternoon	afternoon	 noun	ways to say hello
afternoon	afternoon	 noun	on one occasion in the past
afters	afters	 noun	part of a meal
aftertaste	aftertaste	 noun	the taste of food or drink
afterwards	afterwards	 adverb	after a particular time or event
again	again	 adverb	again
again	again	 adverb	to do something again
again	again	 adverb	to start doing something again
again	again	 adverb	to start talking about something again
again	again	 adverb	happening or doing something many times
again	again	 adverb	to continue doing something after stopping
again	again	 adverb	to start doing something again
again	again	 adverb	to happen again
again	again	 adverb	when something happens many times
again	again	 adverb	to be strong or happy again after a period of problems or unhappiness
again	again	 adverb	to not regret doing something
again	again	 adverb	to do something again
against	against	 preposition	to think something is wrong
against	against	 preposition	a person or group that opposes something
against	against	 preposition	words or behaviour that show that you oppose something
against	against	 preposition	to say that you oppose something
against	against	 preposition	when one thing is being compared with another
against	against	 preposition	when one statement, idea etc makes a different one seem untrue
against	against	 preposition	to have a disadvantage compared to other people or things 
against	against	 preposition	to not like someone because of something they have done
against	against	 preposition	to make someone stop liking a person, thing, or activity
against	against	 preposition	to not obey a person
against	against	 preposition	to refuse to forgive someone
against	against	 preposition	to play against someone else
against	against	 preposition	to have a problem
against	against	 preposition	doing something unwillingly
age	age	 noun	how long someone has lived or something has existed
age	age	 noun	ways of saying how old someone is
age	age	 noun	ways of saying how old a building, car, machine etc is
age	age	 noun	to be the same age as someone or something else
age	age	 noun	people who are the same age
age	age	 noun	to become an adult
age	age	 noun	a long time
age	age	 noun	to become or start to look old
age	age	 noun	a period of time in history
age	age	 noun	a long time
age	age	 noun	looking or behaving like a young person
age	age	 verb	how long someone has lived or something has existed
age	age	 verb	ways of saying how old someone is
age	age	 verb	ways of saying how old a building, car, machine etc is
age	age	 verb	to be the same age as someone or something else
age	age	 verb	people who are the same age
age	age	 verb	to become or start to look old
aged	aged	 adjective	ways of saying how old someone is
age group	age group	 noun	people who are the same age
ageing	ageing	 adjective	to become or start to look old
agenda	agenda	 noun	when something is discussed
agenda	agenda	 noun	most important
agenda	agenda	 noun	a list of events or activities
agent	agent	 noun	someone who represents a person or a group
agent	agent	 noun	someone who spies
age-old	age-old	 adjective	not new
aggravate	aggravate	 verb	to make a bad or difficult situation worse
aggravating	aggravate	 verb	to make a bad or difficult situation worse
aggravatingly	aggravate	 verb	to make a bad or difficult situation worse
aggravation	aggravate	 verb	to make a bad or difficult situation worse
aggression	aggression	 noun	a military attack
aggression	aggression	 noun	violent behaviour
aggressive	aggressive	 adjective	behaving in a way that is likely to start a fight
aggressive	aggressive	 adjective	people and their behaviour
aggressively	aggressive	 adjective	behaving in a way that is likely to start a fight
aggressively	aggressive	 adjective	people and their behaviour
aggressiveness	aggressive	 adjective	behaving in a way that is likely to start a fight
aggressiveness	aggressive	 adjective	people and their behaviour
aggressor	aggressor	 noun	a person or place that attacks another person or country
aghast	aghast	 adjective	surprised and upset because something bad has happened
aging	aging	 adjective	to become or start to look old
agitate	agitate	 verb	to make something shake
agitator	agitator	 noun	someone who encourages rebellion
agnostic	agnostic	 noun	when you believe or do not believe that God, ghosts etc exist
agnosticism	agnostic	 noun	when you believe or do not believe that God, ghosts etc exist
ago	ago	 adverb	before now
ago	ago	 adverb	when something happened a short time ago
ago	ago	 adverb	only a short time ago
ago	ago	 adverb	what hour, day etc something happens
agonizing	agonizing	 adjective	when something makes someone feel pain
agonizingly	agonizing	 adjective	when something makes someone feel pain
agony	agony	 noun	when something makes someone feel pain
agony	agony	 noun	to feel pain
agony	agony	 noun	something painful or unpleasant that you suffer
agree	agree	 verb	to have the same opinion as someone else
agree	agree	 verb	to agree to someone else's plan or suggestion
agree	agree	 verb	when everyone agrees on a decision, plan etc
agree	agree	 verb	to finish making a business agreement or plan
agree	agree	 verb	to agree by accepting less than you originally wanted
agree	agree	 verb	something that has been agreed
agree	agree	 verb	when people have the same opinion about something
agree	agree	 verb	to accept an offer, invitation, or request
agree	agree	 verb	to accept that something is right
agree	agree	 verb	to think something is wrong
agree	agree	 verb	to approve of something or someone
agree	agree	 verb	to have a different opinion from someone else
agree	agree	 verb	to let someone do something
agree	agree	 verb	when facts, situations, or numbers are the same
agree	agree	 verb	to be willing to do something
agreement	agreement	 noun	when people have the same opinion about something
agreement	agreement	 noun	something that has been agreed
agreement	agreement	 noun	to have the same opinion as someone else
agreement	agreement	 noun	when everyone agrees on a decision, plan etc
ahead	ahead	 adverb	to do something before someone else does it
ahead	ahead	 adverb	before someone or something else in a list, line, series etc
ahead	ahead	 adverb	very much better than someone or something
ahead	ahead	 adverb	before the usual or expected time
ahead	ahead	 adverb	to move faster than someone or something else
ahead	ahead	 adverb	towards the front
ahead	ahead	 adverb	at, in, or towards a position that is further forward than you
ahead	ahead	 adverb	the time after now
ahead	ahead	 adverb	what you say to give permission
ahead	ahead	 adverb	to plan something that will happen a long time in the future
ahead	ahead	 adverb	to make progress very rapidly
ahead	ahead	 adverb	to be successful in your work
ahead	ahead	 adverb	to be winning a game, race etc that has not yet finished
ahead	ahead	 adverb	when someone asks you for permission to do something
